pid,potential_poi
4,"[16, 1130, 4, 2583]"
16,"[1636, 16, 2656, 1843, 1704, 3527, 3754, 482, 1386, 1008, 2990, 4416, 1872, 443, 4]"
1636,"[1704, 16, 2242, 1252, 4435, 4821, 2723, 5005, 3087]"
1704,"[1872, 1636, 2656, 16, 3754, 3516, 4416, 1161, 1704, 3150, 3123, 979, 249, 1468, 4821]"
1872,"[1734, 1704, 19, 2525, 36, 254, 31, 3998, 1603, 1042, 368, 1587, 660, 1364, 3322, 926, 1123, 2277, 3317, 4543, 336, 1346, 5064, 674, 2715, 3120, 757, 676, 490, 1729, 1761, 2590, 1429, 2391, 2501, 3451, 612, 4193, 7, 2756, 2912, 318, 1103, 2431, 3324, 3356, 1212, 2352, 4502, 3170, 2016, 1397, 1243, 717, 4398, 614, 3727]"
1734,"[16, 528, 4073, 2591, 2944, 2495, 2512, 3698, 76, 80, 1656, 1898, 2894, 1761]"
2656,"[16, 2656, 3417]"
1843,"[2656, 36, 1843, 2801]"
3527,"[1008, 2483, 4814, 1576, 2826, 3854, 4956, 102, 337]"
1008,"[1704, 3754, 16, 4416, 213, 1060, 1008, 173, 3739, 2531]"
3754,"[1704, 4, 16, 1008, 3754, 1729, 852, 1727, 910, 1900, 2340]"
482,"[16, 2302, 110, 3216, 699, 23, 102, 500, 2406, 482, 4153, 3167, 2339, 2470]"
1386,"[1416, 1468, 1325, 1107, 1471, 3270, 683, 1118, 357, 3098, 2675, 1386, 2227, 158, 4351, 3456, 5048, 4421, 2720, 765]"
1416,"[1008, 2423, 232, 2474, 2675, 1386, 4821]"
3417,"[1704, 833, 3420, 3415]"
2990,"[1704, 4493, 2459, 20, 3225, 4070, 1918, 689, 2447, 2818, 3169, 3656, 439, 1075, 83, 2919, 771, 1555, 1862, 1512, 102, 1947, 2227, 406, 4705]"
3516,"[16, 2190, 712, 1886, 3099, 499, 3725, 999, 986, 706, 1831, 1057, 702, 2199, 4568, 249, 1001, 226, 4179, 4186, 3910, 1459, 1599, 1381, 3516, 2693, 1037]"
4416,"[16, 4416, 608, 3754, 1008]"
608,"[608, 4416, 139, 607, 1221, 1344, 3975, 4821, 1528, 1636]"
