original_uid,new_uid
87G7PX,0
87G7JX,1
87G8P4,2
87G8P2,3
87G8Q2,4
87G7VX,5
87G8R3,6
87G7VW,7
87G7QX,8
87G7MX,9
87G8R2,10
87G7VR,11
87G7WR,12
87G7XW,13
87G8W2,14
87G7RX,15
87G7PR,16
87G8M2,17
87G7WX,18
87G8W6,19
87G8Q5,20
87G7QW,21
87G8P6,22
87G7RV,23
87G8M7,24
87G8J6,25
87G8M6,26
87G7RQ,27
87G8R4,28
87G8H2,29
87G7RW,30
87G8Q4,31
87G7MR,32
87G8V4,33
87G8J2,34
87G8Q3,35
87G8M3,36
87G8P5,37
87G8P3,38
87G8V5,39
87G8R5,40
87G7QV,41
87G7WV,42
87G8J3,43
87G8M4,44
87G7JW,45
87G8Q6,46
87G7WW,47
87G7JV,48
87G8H3,49
87G7QP,50
87G8J4,51
87G7QQ,52
87G7VQ,53
87G7PV,54
87G7RR,55
87G8V2,56
87G7QR,57
87G7MQ,58
87G7PW,59
87G7VV,60
87G8Q7,61
87G7MV,62
87G8V3,63
87G7JR,64
87G7HR,65
87G8H5,66
87G7HW,67
87G8P7,68
87G7PQ,69
87G8M5,70
87G8W3,71
87G7PP,72
87G8H4,73
87G7HV,74
87G7HX,75
87G8H6,76
87G8W5,77
87G7MW,78
87G7WQ,79
87G8W4,80
87G8X2,81
87G8V7,82
87G8V6,83
87G8J5,84
87G8X4,85
87G8R6,86
87G7XV,87
87G8P8,88
87G8Q8,89
87G7JQ,90
